!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
#R0.0,TestBench control ,16'h0000,,
#0.0.15:2,Reserved,R,,
#0.0.1,Refclk Enable enable,RW,0 = Disable refclk; 1 = Enable refclk;,
#0.0.0,Reset,RW,0 = Run; 1 = Reset;,
,,,,
R8.0,PMA Control 1 ,16'h204C,,
8.0.15,Reset,RW,0=normal; 1=reset;,"Asserting this register bit has the same effect as a pin power-on-reset (except it does not reset the MDIO controller or registers).  On de-assertion of this bit device operation will follow the normal power-on-reset sequence dependant on the state of 8.0.15 (MMD8 reset bit), 30.0.11 & 30.0.9 (the Rx and Tx datapath reset request bits), and 30.0.15 (manual reset select bit).  These bits are not affected by assertion of this bit and will retain their previous state.  Note that, as in a normal power-on-reset sequence, the eFuse trim bits will be fetched from the eFuse array on de-assertion of reset"
8.0.14,Reserved,R,,
8.0.13,Speed selection (LSB),R,,"Read as one, writes ignored: 8.06::8.013 == 2'b11  indicate that bits 5:2 control speed select"
8.0.12,Reserved,R,,
8.0.11,Low Power,RW,," Setting this bit places the device into an ultra-low power state.  All non-MDIO digital circuitry is reset and all analog circuitry placed into its IDDQ state. Asserting this bit has the same effect as asserting the following MMD30 bits: 8.0.15, 30.44.4:2, 30.1537.15,  30.1537.9:0, 30.1538.9:0, and de-asserting 30.1281.15.  Setting this bit will forcibly set the Reset bit (8.0.15).  To exit the low power state this bit should be cleared, followed by the Reset bit (8.0.15) using separate MDIO writes to provide adequate delay.  See Note 1 (above) on the operation of the reset bit (8.0.15)."
8.0.10:7,Reserved,R,,
8.0.6,Speed selection (MSB),R,,"Read as one, writes ignored: 8.06::8.013 == 2'b11 indicate that bits 5:2 control speed select"
8.0.5:4,Speed selection,R,,"Read as 2'b00, writes ignored: "
8.0.3:2,Speed selection,RW,00=10G protocol; 11=100G protocol,"Differentiates between 10G and 100G protocols : 11 (default) selects 100G mode - used for 100GBASE-nR4, 100GBASE-nR10 and OTL4.4 protocols that use 20 interleaved virtual lanes; 00 selects 10G mode - used for 10GBASE-R, 40GBASE-nR4 and OTU2/3 protocols that use non-interleaved protocols."
8.0.1,PMA remote loopback,RW,0=disable; 1=enable,Enable PMA remote loopback mode. Remote Loopback mode sends 28G serial data received on a lane back out on the same lane using the Tx datapath. Transmitted data is a bit serial copy of received data.  
8.0.0,PMA local loopback,RW,0=disable; 1=enable,Enable PMA local loopback mode. Local Loopback mode loops back 28G serial transmit data to the 28G serial receiver.
R8.1,PMA Status 1 ,16'h0002,,
8.1.15:8,Reserved,R,,
8.1.7,Fault,R,,
8.1.6:3,Reserved,R,,1=Fault condition detected; 0= Fault condition not detected;
8.1.2,Receive link status,R,,1= PMA/PMD receive link up; 0= PMA/PMD receive  link down;
8.1.1,Low Power,R,,1= PMA/PMD supports low power mode; 0= PMA/PMD does not support low power mode;
8.1.0,Reserved,R,,
R8.2,PMA Device Identifier Lo ,16'h0210,,
8.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R8.3,PMA Device Identifier Hi ,16'h7420,,
8.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI
8.3.9:4,Model Number,R,,Gearbox model number 
8.3.3:0,Revision Code,R,,Gearbox revision number 
R8.4,PMA Speed Ability,16'h0200,,
8.4.15:10,Reserved,R,,
8.4.9,100G capable,R,,"Read as one, writes ignored:  PMA/PMD is capable of operating at 100 Gbps"
8.4.8:0,Reserved,R,,
R8.5,PMA Devices in Package Lo ,16'h0100,,
8.5.15:0,Devices Lo,R,,Separated PMA (1) present in package
R8.6,PMA Devices in Package Hi,16'h4000,,
8.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package
R8.7,PMA Control 2,16'h002A,,
8.7.15:6,Reserved,R,,
8.7.5:1,PMD/PMA type selection 5:2,R,,"Read as 5'b10101, writes ignored : "
8.7.0,PMD/PMA type selection 1,RW,0= All optical lanes operate at 10Gbps; 1=  All optical lanes operate at 100Gbps;,In order for this bit to be writeable the “hard reset” bit (8.0.15) must be asserted. This field is not modified by an MDIO_INIT.
8.7.0,PMD/PMA type selection 0,RW,,
R8.8, PMA Status  2,16'hB281,,
8.8.15:14,Device present,R,,"Read as 2'b10, writes ignored: Indicates device responding at this address"
8.8.13,Transmit fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the transmit path"
8.8.12,Receive fault ability,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has the ability to detect a fault condition on the receive path"
8.8.11,Transmit fault ,R,,0= No fault condition on transmit path; 1= Fault condition on transmit path;
8.8.10,Receive fault ,R,,0= No fault condition on receive path; 1= Fault condition on receive path;
8.8.9,Extended abilities,R,,"Read as one, writes ignored: Indicates that the PMA/PMD has extended abilities listed in register 1.11"
8.8.8,PMD transmit disable ability,R,,"Read as zero, writes ignored: Indicates that the PMD does not have the ability to disable the transmit path"
8.8.7,10GBASE-SR ability,R,,
8.8.6:1,Reserved,R,,
8.8.0,PMA local loopback ability,R,,"Read as one, writes ignored: Indicates that the PMA has the ability to perform a local loopback function."
R8.11, PMA Extended Ability,16'h0400,,
8.11.15:11,Reserved,R,,
8.11.10,40G/100G extended abilities,R,,"Read as one, writes ignored: 1 = PMA/PMD has 40G/100G extended abilities listed in register 1.13"
8.11.9:0,Reserved,R,,
R8.13, 40/100G PMA Extended Ability,16'h8F00,,
8.13.15,PMA remote loopback ability,R,,"Read as one, writes ignored: 1 = PMA has the ability to perform a remote loopback function"
8.13.14:12,Reserved,R,,
8.13.11,100GBASE-ER4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-ER4"
8.13.10,100GBASE-LR4 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-LR4"
8.13.9,100GBASE-SR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-SR10"
8.13.8,100GBASE-CR10 ability,R,,"Read as one, writes ignored: 1 = PMA/PMD is able to perform 100GBASE-CR10"
8.13.7:0,Reserved,R,,
R8.1500,Test Pattern Ability,16'h103F,,
8.1500.15:13,Reserved,R,,
8.1500.12,Square wave test ability,R,,"Read as one, writes ignored: 1= Square wave testing supported"
8.1500.11:6,Reserved,R,,
8.1500.5,PRBS9 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Tx (to optics) pattern generation supported"
8.1500.4,PRBS9 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS9 Rx (to host) pattern generation supported"
8.1500.3,PRBS31 Tx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (to optics) pattern generation supported"
8.1500.2,PRBS31 Tx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Tx (from host)  pattern checking supported"
8.1500.1,PRBS31 Rx generator ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (to host) pattern generation supported"
8.1500.0,PRBS31 Rx checker ability,R,,"Read as one, writes ignored: 1= PRBS31 Rx (from optics) pattern checking supported"
R8.1501,PRBS Pattern Testing Control,16'h0000,,
8.1501.15:4,Reserved,R,,
8.1501.7,PRBS31 pattern enable,RW,0 = Disable PRBS9 test-pattern; 1 = Enable PRBS9 test-pattern;,
8.1501.6,PRBS9 pattern enable,RW,0 = Disable PRBS31 test-pattern; 1 = Enable PRBS31 test-pattern;,
8.1501.5:4,Reserved,R,,
8.1501.3,Tx generator enable,RW,0 = Disable transmit direction test-pattern generator; 1 = Enable transmit direction test-pattern generator;,
8.1501.2,Tx checker enable,RW,0 = Disable transmit direction test-pattern checker; 1 = Enable transmit direction test-pattern checker;,
8.1501.1,Rx generator enable,RW,0 = Disable receive direction test-pattern generator; 1 = Enable receive direction test-pattern generator;,
8.1501.0,Rx checker enable,RW,0 = Disable receive direction test-pattern checker; 1 = Enable receive direction test-pattern checker;,
R8.1510,Tx Square Wave  Testing Control,16'h0000,,
8.1510.15:4,Reserved,R,,
8.1510.9,Lane 9 SW enable,RW,0 = Disable transmit direction square wave on lane 9; 1 = Enable transmit direction square wave on lane 9;,
8.1510.8,Lane 8 SW enable,RW,0 = Disable transmit direction square wave on lane 8; 1 = Enable transmit direction square wave on lane 8;,
8.1510.7,Lane 7 SW enable,RW,0 = Disable transmit direction square wave on lane 7; 1 = Enable transmit direction square wave on lane 7;,
8.1510.6,Lane 6 SW enable,RW,0 = Disable transmit direction square wave on lane 6; 1 = Enable transmit direction square wave on lane 6;,
8.1510.5,Lane 5 SW enable,RW,0 = Disable transmit direction square wave on lane 5; 1 = Enable transmit direction square wave on lane 5;,
8.1510.4,Lane 4 SW enable,RW,0 = Disable transmit direction square wave on lane 4; 1 = Enable transmit direction square wave on lane 4;,
8.1510.3,Lane 3 SW enable,RW,0 = Disable transmit direction square wave on lane 3; 1 = Enable transmit direction square wave on lane 3;,
8.1510.2,Lane 2 SW enable,RW,0 = Disable transmit direction square wave on lane 2; 1 = Enable transmit direction square wave on lane 2;,
8.1510.1,Lane 1 SW enable,RW,0 = Disable transmit direction square wave on lane 1; 1 = Enable transmit direction square wave on lane 1;,
8.1510.0,Lane 0 SW enable,RW,0 = Disable transmit direction square wave on lane 0; 1 = Enable transmit direction square wave on lane 0;,
,,,,
R30.0,Device Control 1 ,16'h0A00,,
30.0.15,Manual Reset select,RW,0 = Hardware Sequencing; 1= Manual sequencing; ,"1= Manual Reset sequencing; 0 = Hardware Reset Sequencing (default). Pin reset RESETN leaves the gearbox device in a fully reset state.  Bringing the device into an operational state requires sequencing of SERDES reset signals.  Two sequencing methods are supported: Manual, and hardware sequenced.  This bit selects which method controls internal reset signals.  When Manual control is selected fields in register 30.44 control internal reset signals, otherwise bits in this register control them."
30.0.14,Protocol Select,RW,0 = Ethernet; 1= OTU; ,Select OTU framing protocol for protocol lock State Machine.
30.0.13,Ingress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,
30.0.12,Egress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,
30.0.11,Ingress Datapath Reset ,RW,,"This bit controls Ingress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Ingress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Ingress datapath using the hardware reset sequencer. This bit is set to a one by assertion of the RESETN pin."
30.0.10,Ingress Reset seq done,R,,"1=Ingress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Ingress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive."
30.0.9,Egress Datapath Reset ,RW,,"This bit controls Egress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Egress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Egress datapath using the hardware reset sequencer.  This bit is set to a one by assertion of the RESETN pin."
30.0.8,Egress Reset seq done,R,,"1=Egress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Egress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive."
30.0.7,MDIO init,RW,,"Writing a one to this bit locations sets all MDIO registers except registers 30.0 (this register) ,register 30.62 (lane power downs), registers 30.180-182 (refclk select and PLL trim), and register 8.7 (PMA type)  to their default states. This bit must be written to a zero again to release the reset."
30.0.8,Ingress AZ complete,R,,Ingress Receiver auto-zero complete on all enabled lanes 
30.0.8,Egress AZ complete,R,,Egress Receiver auto-zero complete on all enabled lanes 
30.0.4,Shallow Host Loopback,RW,0=disable; 1=enable,Shallow Host loopback enable : 0 = normal mode; 1= loopback received 10G Host data to 10g Host data transmitter via the FIFOs. Data is returned bit for bit with no intervening VL muxing. This function affects all lanes in parallel.
30.0.3:1,Reserved,R,,
30.0.0,Diagnostic override,RW,0=disable; 1=enable,1= Device diagnostic registers 30.16:29 over-ride PMA/MMD8 register controls. 0= Device is controlled by PMA/MMD8 registers. Default is zero.
R30.2,Device Identifier Lo ,16'h0210,,
30.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R30.3,Device Identifier Hi ,16'h7420,,
30.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI
30.3.9:4,Model Number,R,,Gearbox model number 
30.3.3:0,Revision Code,R,,Gearbox revision number 
R30.5,Devices in Package Lo ,16'h0100,,
30.5.15:0,Devices Lo,R,,Separated PMA (1) present in package
R30.6,Devices in Package Hi,16'h4000,,
30.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package
R30.8, MMD30 Status  ,16'h8000,,
30.8.15:14,status,R,,"Read as 2'b10, writes ignored : Indicates device responding at this address"
30.8.13:0,Reserved,R,,
,,,,
,,,,
,,,,
R30.48,Custom Pattern Lo ,16'h0000,,
30.48.15:0,Pattern 15:0,RW,,Custom transmit Pattern bits 15:0
R30.49,Custom Pattern Mid,16'h0000,,
30.49.15:0,Pattern 32:16,RW,,Custom transmit Pattern bits 31:16
R30.50,Custom Pattern Hi,16'h0000,,
30.50.15:8,Reserved,R,,
30.50.7:0,Pattern 39:32,RW,,Custom transmit Pattern bits 39:32
,,,,
R30.58,Ingress FIFO config,16'h0003,,
30.58.15:14,Reserved,R,,
30.58.13:12,i10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 local loopback mode 
30.58.11:10,Reserved,R,,
30.58.9:8,n10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 normal mode 
30.58.7:6,Reserved,R,,
30.58.5:4,Reserved,R,,
30.58.3:2,Reserved,R,,
30.58.1:0,n25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 25:10 normal mode 
,,,,
R30.59,Egress FIFO config,16'h0031,,
30.59.15:14,Reserved,R,,
30.59.13:12,r10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 remote loopback mode 
30.59.11:10,Reserved,R,,
30.59.9:8,n10_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:10 normal mode 
30.59.7:6,Reserved,R,,
30.59.5:4,r25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 25:25 remote loopback mode 
30.59.3:2,Reserved,R,,
30.59.1:0,n25_lat,RW,00 = min latency; 01 =min+1; 10 =min+2; 11 = min+3;,FIFO latency in 10:25 normal mode 
,,,,
R30.60,Monitor Clock Select,16'h000F,,
30.60.15:6,Reserved,R,,
30.60.15:5,Divide Select,RW,,Monitor clock divide ratio
30.60.4,Direction select,RW,0=Ingress;1=Egress,Select Optical lane direction to monitor 
30.60.15:6,Lane select,RW,0000=lane 0; 0001=lane 1; 0010=lane 2; 0011=lane 3; 0100=lane 4; 0101=lane 5; 0110=lane 6; 0111=lane 7; 1000=lane 8; 1001=lane 9; 1111=disabled;,"Select Optical Lane to monitor : 0-9 : Select numbered lane; A-E : Reserved; F :Monitor Clock Disabled (Default). Note only lane 2 can be monitored on Egress. Selecting anything other than lane 2 will not produce a valid clock.
"
,,,,
R30.62,Power down and disable,16'h0000,,
30.62.15,pll_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G PLLs
30.62.14,vr_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Voltage Regulators
30.62.13,bg_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Bandgaps
30.62.12,analog_powerdn,RW,0=power-up; 1=power-down,1=Power-down (all other) SERDES analog circuitry & PLL REF_OUT buffer
30.62.11:10,Reserved,R,,
30.62.9,Lane 9 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.8,Lane 8 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.7,Lane 7 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.6,Lane 6 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.5,Lane 5 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.4,Lane 4 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.3,Lane 3 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.2,Lane 2 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.1,Lane 1 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
30.62.0,Lane 0 Disable,RW,0=power-up; 1=power-down,Power-down 10G Host and Optical Lane in 10:10 modes. Has no effect in 10:25 modes. Only writeable when soft reset bits are asserted.
,,,,
R30.63,Manual Reset Control,16'hFFFF,,
30.63.15,Egress Rx PLL reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes PLL
30.63.14,Egress Rx PI reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes PI
30.63.13,Egress Rx DM reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes Demux
30.63.12,Egress Rx Serdes reset,RW,0=unreset; 1=reset,1= Reset Egress Rx Serdes
30.63.11,Egress Tx PLL reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes PLL
30.63.10,Egress Tx PI reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes PI
30.63.9,Egress Tx Serdes reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Serdes
30.63.8,Egress datapath reset,RW,0=unreset; 1=reset,1= Reset Egress Tx Datapath (including FIFOs)
30.63.7,Ingress Rx PLL reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes PLL
30.63.6,Ingress Rx PI reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes PI
30.63.5,Ingress Rx DM reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes Demux
30.63.4,Ingress Rx Serdes reset,RW,0=unreset; 1=reset,1= Reset Ingress Rx Serdes
30.63.3,Ingress Tx PLL reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes PLL
30.63.2,Ingress Tx PI reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes PI
30.63.1,Ingress Tx Serdes reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Serdes
30.63.0,Ingress datapath reset,RW,0=unreset; 1=reset,1= Reset Ingress Tx Datapath (including FIFOs)
,,,,
R30.64,Ingress LOL Status Register,16'h83FF,,
30.64.15,Ingress LOL ,R,,"Composite LOL : logical OR of bits 9:0 in 10:10 mode, Logical OR of bits 3:0 in 10:4 mode."
30.64.14:10,Reserved,R,,
30.64.9,Ingress LOL  Status 9,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.8,Ingress LOL  Status 8,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.7,Ingress LOL  Status 7,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.6,Ingress LOL  Status 6,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.5,Ingress LOL  Status 5,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.4,Ingress LOL  Status 4,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.3,Ingress LOL  Status 3,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.2,Ingress LOL  Status 2,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.1,Ingress LOL  Status 1,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
30.64.0,Ingress LOL  Status 0,R,,"Loss of lock for lane : Logical ""and"" of corresponding ""protol loss of lock"" and ""PRBS loss of lock"" flags"
,,,,
R30.65,Ingress LOL Event Register,16'h83FF,,
30.65.15,Ingress LOL event,R,,Composite LOL event : Set high when corresponding bit in LOL status register changes state
30.65.14:10,Reserved,R,,
30.65.9,Ingress LOL  Event 9,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
30.65.8,Ingress LOL  Event 8,R,,Lane LOL event : Set high when corresponding bit in LOL status register changes state
